#dt, x, y, z
310918870, 1030, 795, 26
310951875, 915, 802, 96
310984874, 710, 821, -35
311017866, 657, 805, -98
311050870, 662, 736, -151
311083866, 662, 689, -146
311116870, 647, 663, -130
311149866, 661, 615, -103
311182870, 692, 722, -89
311215866, 752, 781, -77
311248870, 719, 801, -46
311281874, 697, 747, -18
311314870, 741, 702, 9
311347870, 793, 918, 0
311380870, 809, 1033, 29
311413870, 790, 879, 141
311446874, 845, 747, 85
311479870, 909, 867, 17
311512874, 989, 1206, -69
311545866, 945, 1187, 0
311578870, 949, 1103, 52
311611875, 892, 987, 80
311644874, 742, 911, 11
311677870, 678, 895, -13
311710870, 567, 896, -54
311743866, 495, 907, -35
311776870, 284, 853, -45
311809866, 227, 739, -65
311842870, 240, 701, -28
311875866, 278, 659, 3
311908874, 354, 707, 8
311941875, 404, 753, -46
311974870, 614, 1038, -95
312007866, 845, 1287, -116
312040870, 960, 1377, -100
312073866, 1166, 1347, -59
312106870, 1174, 1027, -21
312139866, 1142, 884, -27
312172870, 1110, 762, 2
312205870, 1031, 798, 36
312238874, 966, 829, 29
312271875, 794, 818, -45
312304870, 725, 700, -165
312337866, 684, 631, -198
312370870, 595, 590, -232
312403866, 574, 663, -204
312436870, 569, 657, -183
312469866, 604, 637, -162
312502870, 650, 694, -157
312535866, 729, 817, -154
312568870, 751, 747, -176
312601874, 785, 663, -157
312634870, 861, 687, -158
312667866, 947, 1052, -153
312700870, 977, 1248, -89
312733866, 915, 1180, 117
312766874, 898, 1002, 73
312799870, 886, 1065, -8
312832870, 768, 1230, -113
312865866, 748, 1262, -36
312898870, 744, 1213, 20
312931875, 658, 953, 71
312964874, 622, 798, 70
312997870, 552, 780, 50
313030874, 460, 767, 18
313063870, 409, 757, 12
313096874, 295, 749, 6
313129870, 207, 721, -26
313162870, 203, 697, -79
313195866, 305, 742, -80
313228870, 434, 828, -14
313261874, 485, 903, 22
313294874, 641, 1061, 47
313327870, 858, 1345, 10
313360874, 1015, 1618, -15
313393866, 1248, 1795, 108
313426874, 1339, 1386, 173
313459870, 1380, 1093, 216
313492874, 1325, 630, 230
313525870, 1140, 554, 140
313558874, 1037, 649, 77
313591875, 783, 804, -42
313624870, 632, 776, -88
313657866, 463, 685, -81
313690870, 422, 545, -54
313723866, 420, 625, -29
313756870, 433, 681, -23
313789866, 473, 727, 7
313822874, 502, 715, -25
313855866, 548, 716, -82
313888870, 595, 755, -216
313921874, 623, 803, -262
313954870, 713, 858, -273
313987866, 796, 906, -249
314020870, 887, 1031, -305
314053866, 936, 1227, -288
314086870, 816, 965, -196
314119866, 762, 819, -207
314152870, 762, 934, -373
314185866, 803, 1180, -337
314218870, 823, 1182, -213
314251874, 863, 1060, -57
314284870, 820, 862, -105
314317866, 651, 805, -162
314350870, 517, 734, -217
314383866, 470, 706, -180
314416870, 356, 669, -154
314449866, 204, 635, -146
314482870, 181, 604, -97
314515866, 214, 592, -63
314548870, 275, 774, -66
314581874, 316, 947, -125
314614870, 524, 1043, -117
314647866, 779, 1239, 69
314680874, 913, 1463, 189
314713870, 1120, 1564, 306
314746874, 1241, 1267, 215
314779870, 1371, 1318, 164
314812874, 1170, 1089, 180
314845870, 1002, 780, 142
314878874, 888, 782, 102
314911875, 783, 891, 62
314944874, 691, 903, 95
314977870, 501, 840, 120
315010874, 409, 657, 161
315043870, 378, 605, 138
315076874, 332, 608, 101
315109870, 286, 634, 39
315142874, 280, 666, 22
315175870, 334, 702, 10
315208874, 414, 768, 0
315241875, 475, 862, -4
315274870, 561, 999, -16
315307866, 678, 1118, -23
315340870, 770, 1188, -23
315373866, 920, 1228, 17
315406874, 1052, 1195, 30
315439870, 1019, 1064, -16
315472870, 1013, 961, -104
315505866, 923, 616, -125
315538870, 915, 546, -172
315571874, 945, 592, -339
315604870, 937, 745, -304
315637866, 945, 853, -194
315670870, 1052, 958, 32
315703870, 1013, 961, 9
315736874, 913, 1074, -34
315769866, 875, 1205, -61
315802870, 848, 1226, -44
315835866, 678, 1220, -18
315868870, 545, 1073, -11
315901874, 532, 1037, 4
315934874, 419, 973, 24
315967870, 258, 853, 34
316000874, 221, 823, 34
316033870, 264, 806, -5
316066870, 408, 972, -81
316099866, 441, 1066, -58
316132870, 558, 1021, -41
316165866, 617, 796, -90
316198870, 746, 804, -114
316231874, 836, 929, -99
316264870, 880, 964, -6
316297866, 896, 947, 51
316330874, 834, 887, 58
316363870, 836, 845, 18
316396874, 876, 761, 22
316429870, 883, 713, 28
316462874, 842, 749, 20
316495870, 731, 748, -52
316528870, 739, 700, -70
316561874, 751, 662, -85
316594870, 734, 659, -131
316627866, 772, 716, -155
316660870, 793, 732, -120
316693866, 852, 690, -50
316726870, 938, 865, -62
316759866, 926, 1012, -41
316792870, 816, 1060, 5
316825870, 763, 894, 69
316858874, 752, 852, 66
316891875, 754, 946, -21
316924870, 759, 1024, -26
316957866, 736, 1084, 18
316990874, 784, 990, 134
317023870, 811, 933, 219
317056874, 810, 907, 254
317089870, 724, 947, 226
317122874, 648, 959, 178
317155870, 499, 953, 122
317188874, 389, 898, 104
317221875, 364, 839, 93
317254874, 369, 764, 60
317287870, 391, 739, 34
317320874, 381, 710, 28
317353870, 400, 727, 37
317386874, 492, 835, -123
317419866, 676, 912, -146
317452870, 772, 1029, -164
317485866, 822, 866, -204
317518870, 879, 757, -221
317551874, 954, 705, -254
317584870, 979, 743, -206
317617866, 1000, 832, -164
317650870, 960, 863, -104
317683866, 920, 804, -110
317716870, 820, 671, -127
317749866, 777, 564, -139
317782870, 770, 580, -138
317815866, 732, 632, -168
317848870, 701, 665, -128
317881874, 690, 668, -87
317914870, 679, 705, -17
317947866, 671, 754, 15
317980874, 680, 792, 19
318013870, 703, 848, 46
318046874, 716, 797, 102
318079870, 801, 813, 95
318112874, 880, 966, 121
318145870, 900, 1012, 187
318178874, 914, 959, 231
318211875, 895, 760, 308
318244874, 897, 712, 237
318277870, 889, 859, 201
318310874, 828, 984, 186
318343870, 775, 966, 202
318376874, 732, 877, 286
318409870, 646, 817, 285
318442874, 605, 796, 247
318475870, 532, 758, 137
318508874, 487, 738, 87
318541875, 506, 684, 75
318574874, 529, 586, 47
318607870, 512, 552, 70
318640874, 498, 547, 103
318673870, 480, 590, 100
318706874, 487, 668, 38
318739870, 542, 719, -5
318772870, 673, 919, -3
318805866, 704, 942, 92
318838874, 867, 887, 47
318871875, 962, 985, 16
318904874, 966, 994, 28
318937870, 1015, 718, 31
318970874, 1026, 638, 72
319003870, 1048, 672, 87
319036874, 1012, 697, 94
319069870, 803, 714, 2
319102874, 743, 669, -45
319135866, 727, 644, -94
319168870, 707, 656, -110
319201874, 687, 670, -104
319234870, 709, 702, -72
319267866, 715, 713, -41
319300870, 725, 732, -29
319333866, 707, 764, -29
319366866, 682, 781, -12
319399866, 640, 762, 24
319432874, 724, 784, 79
319465870, 737, 870, 134
319498874, 743, 1065, 157
319531875, 748, 1085, 143
319564874, 762, 1041, 154
319597870, 827, 913, 248
319630874, 801, 868, 297
319663870, 783, 913, 292
319696874, 744, 913, 261
319729870, 710, 856, 214

